rank,drug_id,drug_name,score,raw_score,status
223,CHEMBL4298180,DARVADSTROCEL,0.6998,-1.1855,novel
224,CHEMBL1738990,LEVOPROPOXYPHENE,0.6997,-1.186,novel
225,CHEMBL3989569,IBANDRONATE SODIUM,0.6993,-1.1919,novel
226,CHEMBL1200933,HEXAFLUORENIUM BROMIDE,0.699,-1.1956,novel
227,CHEMBL1342,OXYBATE,0.6987,-1.2,novel
228,CHEMBL4297723,CEMIPLIMAB,0.6984,-1.204,novel
229,CHEMBL4298124,DOSTARLIMAB,0.6981,-1.2069,novel
230,CHEMBL108545,METHYL SALICYLATE,0.6978,-1.2114,novel
231,CHEMBL4113131,ENSARTINIB,0.6974,-1.2168,novel
232,CHEMBL294199,CAPSAICIN,0.6972,-1.219,novel
233,CHEMBL2042122,FLUTEMETAMOL F 18,0.6967,-1.2253,novel
234,CHEMBL1200609,PAROXETINE MESYLATE,0.6962,-1.2312,novel
235,CHEMBL1201550,DENILEUKIN DIFTITOX,0.6959,-1.2355,novel
236,CHEMBL917,FLOXURIDINE,0.6959,-1.2356,novel
237,CHEMBL70418,CLOBAZAM,0.6958,-1.2375,novel
238,CHEMBL1200538,BETAMETHASONE ACETATE,0.6957,-1.2382,novel
239,CHEMBL1201575,EFALIZUMAB,0.6955,-1.2408,novel
240,CHEMBL1200970,ETHOPROPAZINE HYDROCHLORIDE,0.6955,-1.241,novel
241,CHEMBL1092,TRIHEXYPHENIDYL HYDROCHLORIDE,0.6952,-1.2444,novel
242,CHEMBL1007,GONADORELIN,0.695,-1.2471,novel
243,CHEMBL354541,LOMITAPIDE,0.6941,-1.2593,novel
244,CHEMBL1200788,CISAPRIDE MONOHYDRATE,0.6938,-1.2624,novel
245,CHEMBL5314380,PASIREOTIDE DIASPARTATE,0.6936,-1.2654,novel
246,CHEMBL3545311,BRIGATINIB,0.6924,-1.2814,novel
247,CHEMBL5314379,VOCLOSPORIN,0.6923,-1.2826,novel
248,CHEMBL1619,CLADRIBINE,0.692,-1.2858,novel
249,CHEMBL354077,AMIFAMPRIDINE,0.6919,-1.2871,novel
250,CHEMBL1201464,CHORIOGONADOTROPIN ALFA,0.6918,-1.2892,novel
251,CHEMBL1421,DASATINIB ANHYDROUS,0.6904,-1.3062,novel
252,CHEMBL1200809,AZELASTINE HYDROCHLORIDE,0.6901,-1.3109,novel
253,CHEMBL203321,BRINCIDOFOVIR,0.6897,-1.3153,novel
254,CHEMBL1040,CALCIFEDIOL ANHYDROUS,0.6897,-1.3154,novel
255,CHEMBL3545181,TIOTROPIUM BROMIDE,0.6895,-1.3178,novel
256,CHEMBL4650485,PIRTOBRUTINIB,0.6895,-1.3182,novel
257,CHEMBL704,MESALAMINE,0.6893,-1.3211,novel
258,CHEMBL12,DIAZEPAM,0.689,-1.325,novel
259,CHEMBL608533,MIDOSTAURIN,0.6888,-1.3272,novel
260,CHEMBL1289926,AXITINIB,0.6885,-1.3311,novel
261,CHEMBL3989777,TRIENTINE HYDROCHLORIDE,0.6885,-1.3315,novel
262,CHEMBL3039545,LUSPATERCEPT,0.6883,-1.334,novel
263,CHEMBL1201692,FOLLITROPIN ALFA,0.6878,-1.3399,novel
264,CHEMBL1621597,IPRATROPIUM,0.6875,-1.3447,novel
265,CHEMBL193240,ROFLUMILAST,0.6874,-1.3457,novel
266,CHEMBL1742990,BELATACEPT,0.6864,-1.3589,novel
267,CHEMBL3643413,LENIOLISIB,0.6862,-1.3615,novel
268,CHEMBL1184,ACETYLCHOLINE CHLORIDE,0.6861,-1.3625,novel
269,CHEMBL27193,DILEVALOL,0.6857,-1.3679,novel
270,CHEMBL32479,BROTIZOLAM,0.6847,-1.3797,novel
271,CHEMBL515408,MARIBAVIR,0.6834,-1.3971,novel
272,CHEMBL1743043,MOXETUMOMAB PASUDOTOX,0.6827,-1.4064,novel
273,CHEMBL1185,ZOLMITRIPTAN,0.6823,-1.4118,novel
274,CHEMBL1131,ACITRETIN,0.6822,-1.4132,novel
275,CHEMBL550,PILOCARPINE,0.682,-1.4149,novel
276,CHEMBL425,OLSALAZINE,0.682,-1.4153,novel
277,CHEMBL1677,TACRINE HYDROCHLORIDE,0.6812,-1.4252,novel
278,CHEMBL3991065,ATOGEPANT,0.6809,-1.4294,novel
279,CHEMBL989,FLUOCINOLONE ACETONIDE,0.6804,-1.4355,novel
280,CHEMBL3989529,ETHANOLAMINE OLEATE,0.6802,-1.4383,novel
281,CHEMBL4297841,TISOTUMAB VEDOTIN,0.6798,-1.4441,novel
282,CHEMBL6068336,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,0.6791,-1.4529,novel
283,CHEMBL5315125,DUVELISIB MONOHYDRATE,0.6786,-1.4585,novel
284,CHEMBL2355051,CLOMIPHENE,0.6776,-1.4726,novel
285,CHEMBL18442,PLERIXAFOR,0.6775,-1.4732,novel
286,CHEMBL107,COLCHICINE,0.6774,-1.4743,novel
287,CHEMBL139,DICLOFENAC,0.6773,-1.4754,novel
288,CHEMBL1201171,PRAMOXINE HYDROCHLORIDE,0.6773,-1.4761,novel
289,CHEMBL566315,OBETICHOLIC ACID,0.677,-1.4796,novel
290,CHEMBL1200666,CALCIPOTRIENE,0.6766,-1.4851,novel
291,CHEMBL1257073,TECOVIRIMAT,0.6763,-1.4885,novel
292,CHEMBL1162,NORETHINDRONE,0.6762,-1.4904,novel
293,CHEMBL3989769,NEOMYCIN SULFATE,0.6762,-1.4906,novel
294,CHEMBL1201565,EPOETIN ALFA,0.6761,-1.4918,novel
295,CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,0.6759,-1.4938,novel
296,CHEMBL2021430,DEXAMETHASONE SODIUM PHOSPHATE,0.6753,-1.5012,novel
297,CHEMBL3301589,ENFORTUMAB VEDOTIN,0.6752,-1.5029,novel
298,CHEMBL1107,HALOFANTRINE,0.6749,-1.5064,novel
299,CHEMBL90555,VINCRISTINE,0.6749,-1.5071,novel
300,CHEMBL2103741,LEVOTHYROXINE SODIUM,0.6749,-1.5074,novel
301,CHEMBL1355736,THEOPHYLLINE,0.6746,-1.5109,novel
302,CHEMBL61,PODOFILOX,0.6744,-1.5136,novel
303,CHEMBL4594618,BREXUCABTAGENE AUTOLEUCEL,0.6742,-1.5164,novel
304,CHEMBL1201190,LEVOCETIRIZINE DIHYDROCHLORIDE,0.674,-1.5187,novel
305,CHEMBL1200480,OCTREOTIDE ACETATE,0.6737,-1.5223,novel
306,CHEMBL1200896,DINOPROST TROMETHAMINE,0.6737,-1.5229,novel
307,CHEMBL360055,GALLAMINE,0.6736,-1.523,novel
308,CHEMBL2397415,ZAVEGEPANT,0.6735,-1.5252,novel
309,CHEMBL6068495,"CHIKUNGUNYA VIRUS, LIVE ATTENUATED",0.6731,-1.5295,novel
310,CHEMBL1201124,KETOROLAC TROMETHAMINE,0.6731,-1.5303,novel
311,CHEMBL2364638,UBROGEPANT,0.6727,-1.5357,novel
312,CHEMBL3989977,EMAPALUMAB,0.6725,-1.538,novel
313,CHEMBL1430,PENICILLAMINE,0.6723,-1.5408,novel
314,CHEMBL3989887,TACROLIMUS,0.6722,-1.5415,novel
315,CHEMBL4297522,PEMIGATINIB,0.6721,-1.5425,novel
316,CHEMBL5315126,FOLLITROPIN BETA,0.6718,-1.5473,novel
317,CHEMBL56337,EPALRESTAT,0.6715,-1.5513,novel
318,CHEMBL1510,ELETRIPTAN,0.6712,-1.5547,novel
319,CHEMBL1382627,"SULFADIAZINE, SILVER",0.6711,-1.5563,novel
320,CHEMBL416,METHOXSALEN,0.6702,-1.5679,novel
321,CHEMBL4594250,NETARSUDIL,0.6699,-1.5719,novel
322,CHEMBL566752,FLORBETABEN F18,0.6697,-1.5743,novel
323,CHEMBL2105709,QUIZARTINIB DIHYDROCHLORIDE,0.6693,-1.5794,novel
324,CHEMBL119,TRIMETREXATE,0.6692,-1.5811,novel
325,CHEMBL92,DOCETAXEL ANHYDROUS,0.6691,-1.5821,novel
326,CHEMBL4297788,MOSUNETUZUMAB,0.6688,-1.5852,novel
327,CHEMBL1200865,LOTEPREDNOL ETABONATE,0.6679,-1.5967,novel
328,CHEMBL1200384,BETAMETHASONE DIPROPIONATE,0.6677,-1.5999,novel
329,CHEMBL710,FINASTERIDE,0.6668,-1.6119,novel
330,CHEMBL594,EMEDASTINE,0.6662,-1.6187,novel
331,CHEMBL5315121,TECOVIRIMAT MONOHYDRATE,0.6662,-1.6189,novel
332,CHEMBL3039504,NINTEDANIB ESYLATE,0.666,-1.6217,novel
333,CHEMBL496,HEXACHLOROPHENE,0.6657,-1.6261,novel
334,CHEMBL3084748,TROSPIUM CHLORIDE,0.6656,-1.6264,novel
335,CHEMBL1200803,SOLIFENACIN SUCCINATE,0.6654,-1.6297,novel
336,CHEMBL2107891,TASONERMIN,0.6654,-1.6301,novel
337,CHEMBL6068373,"VACCINIA VIRUS, LIVE MODIFIED",0.6653,-1.631,novel
338,CHEMBL180022,NERATINIB,0.6652,-1.6327,novel
339,CHEMBL1108,DROPERIDOL,0.6649,-1.6354,novel
340,CHEMBL1743087,VEDOLIZUMAB,0.6649,-1.6365,novel
341,CHEMBL2105613,DIVALPROEX SODIUM,0.6645,-1.641,novel
342,CHEMBL3707393,OSILODROSTAT PHOSPHATE,0.6644,-1.642,novel
343,CHEMBL1200985,CEFTIBUTEN DIHYDRATE,0.6643,-1.6431,novel
344,CHEMBL1229211,DOLUTEGRAVIR,0.664,-1.6474,novel
345,CHEMBL4298086,POZELIMAB,0.6639,-1.6485,novel
346,CHEMBL1983350,STIRIPENTOL,0.6637,-1.6518,novel
347,CHEMBL1201748,CABAZITAXEL,0.6634,-1.6557,novel
348,CHEMBL1201567,FILGRASTIM,0.6633,-1.6564,novel
349,CHEMBL1489,AZACITIDINE,0.6633,-1.6572,novel
350,CHEMBL3989908,ENASIDENIB,0.663,-1.6608,novel
351,CHEMBL978,METHACHOLINE,0.6629,-1.662,novel
352,CHEMBL4594293,ACALABRUTINIB MALEATE,0.6625,-1.6668,novel
353,CHEMBL2107333,DIMETHYL FUMARATE,0.6622,-1.6707,novel
354,CHEMBL4298171,LINZAGOLIX CHOLINE,0.6618,-1.6762,novel
355,CHEMBL282468,CHOLINE CHLORIDE,0.6617,-1.6769,novel
356,CHEMBL1201573,OPRELVEKIN,0.6617,-1.677,novel
357,CHEMBL754,FOSCARNET SODIUM,0.6616,-1.6788,novel
358,CHEMBL3989962,PEMETREXED TROMETHAMINE,0.6615,-1.6797,novel
359,CHEMBL1852688,INFIGRATINIB,0.6614,-1.6817,novel
360,CHEMBL134,CLONIDINE,0.6614,-1.6818,novel
361,CHEMBL1289494,TIVOZANIB,0.6613,-1.6819,novel
362,CHEMBL488,AMINOGLUTETHIMIDE,0.6612,-1.684,novel
363,CHEMBL1200600,FLUOROMETHOLONE,0.6612,-1.6843,novel
364,CHEMBL3668014,LINZAGOLIX,0.6607,-1.6897,novel
365,CHEMBL3936761,ZANUBRUTINIB,0.6607,-1.69,novel
